NAME,YLDs 
East Asia,1887.06 
China,1882.63 
North Korea,1997.74 
Taiwan,2020.58 
Southeast Asia ,1890.66 
Cambodia,1870.99 
Indonesia,2051.59 
Laos,1888.05 
Malaysia,1526.11 
Maldives,1914.15 
Myanmar,1294.62 
Philippines,2463.62 
Sri Lanka,1659.78 
Thailand,1566.07 
Timor-Leste,1855.89 
Vietnam,1876.46 
Oceania,2135.76 
Fiji,2140.38 
Kiribati,2098.22 
Marshall Islands,2102.23 
Federated States of Micronesia,2122.28 
Papua New Guinea,2133.21 
Samoa,2144.26 
Solomon Islands,2143.37 
Tonga,2181.25 
Vanuatu,2170.22 
Central Asia,2058.95 
Armenia,1999.41 
Azerbaijan,1970.8 
Georgia,1478.38 
Kazakhstan,2419.16 
Kyrgyzstan,1989.41 
Mongolia,2030.47 
Tajikistan,1987.69 
Turkmenistan,2013.9 
Uzbekistan,2026.63 
Albania,2976.04 
Bosnia and Herzegovina,2168.24 
Bulgaria,2999.89 
Croatia,2759.87 
Czech Republic,2861.78 
Hungary,3362.16 
Macedonia,3030.2 
Montenegro,2946.86 
Poland,2961.62 
Romania,2988.17 
Serbia,2978.17 
Slovakia,2838.98 
Slovenia,2817.39 
Belarus,2704.11 
Estonia,2200.75 
Latvia,2663.4 
Lithuania,2732.85 
Moldova,2694.11 
Russia,2515.32 
Ukraine,2784.03 
Brunei,1952.61 
Japan,2499.8 
South Korea,1971.14 
Singapore,1395.57 
Australasia,2537.19 
Australia,2518.15 
New Zealand,2635.62 
Andorra,3217.01 
Austria,3300.15 
Belgium,3008.8 
Cyprus,3205.99 
Denmark,3498.6 
Finland,3179.51 
France,3302.35 
Germany,3514.5 
Greece,3121.96 
Greenland,3093.57
Iceland,3093.57 
Ireland,3253.69 
Israel,2725.91 
Italy,2722.77 
Luxembourg,3246.96 
Malta,3275.64 
Netherlands,3033.87 
Norway,4308.35 
Portugal,3270.27 
Spain,1890.76 
Sweden,3454.98 
Switzerland,1939.39 
United Kingdom,3348.53 
Argentina,1905.47 
Chile,1904.43 
Uruguay,1763.65 
Canada,2870.4 
United States of America,1516.78 
Caribbean,1653.47 
Antigua and Barbuda,1712.87 
The Bahamas,1687.26 
Barbados,1709.4 
Belize,1708.63 
Cuba,1708.33 
Dominica,1734.87 
Dominican Republic,1499.95 
Grenada,1684.45 
Guyana,1657.56 
Haiti,1670.62 
Jamaica,1731.76 
Saint Lucia,1660.85 
Saint Vincent and the Grenadines,1712.81 
Suriname,1720.72 
Trinidad and Tobago,1692.04 
Bolivia,1915.14 
Ecuador,1786.37 
Peru,1958.09 
Colombia,2005.44 
Costa Rica,1928.88 
El Salvador,1913.31 
Guatemala,2211.64 
Honduras,1911.95 
Mexico,1295.44 
Nicaragua,1925.51 
Panama,1943.74 
Venezuela,1933.23 
Brazil,2335.15 
Paraguay,2100.43 
Algeria,2415.77 
Bahrain,2365.26 
Egypt,2402.81 
Iran,3716.74 
Iraq,2346.8 
Jordan,2437.74 
Kuwait,1642.55 
Lebanon,2277.54 
Libya,2400.17 
Morocco,2418.32 
Palestine,2437.29 
Oman,2381.54 
Qatar,2394.4 
Saudi Arabia,2273.75 
Syria,2416.59 
Tunisia,1839.01 
Turkey,2388.64 
United Arab Emirates,1783.34 
Yemen,2345.33 
South Asia,2198.46 
South Asia,2198.46 
Afghanistan,2302.15 
Bangladesh,3540.16 
Bhutan,2725.35 
India,2106.34 
Nepal,3216.84 
Pakistan,1722.46 
Angola,2037.63 
Central African Republic,2048.54 
Republic of the Congo,1897.43 
Democratic Republic of the Congo,2033.4 
Equatorial Guinea,2008.94 
Gabon,2061.36 
Burundi,2193.59 
Comoros,2078.67 
Djibouti,2255.31 
Eritrea,2213.9 
Ethiopia,1707.29 
Kenya,1860.29 
Madagascar,2231.99 
Malawi,1982.14 
Mauritius,1713.64 
Mozambique,2261.85 
Rwanda,2202.13 
Seychelles,1919.44 
Somalia,2243.69 
Sudan,3516.65 
South Sudan,3516.65 
United Republic of Tanzania,2262.43 
Uganda,2285.73 
Zambia,1783.25 
Botswana,2037.63 
Lesotho,1990.01 
Namibia,1862.57 
South Africa,1967.15 
Swaziland,1653.8 
Zimbabwe,2020.61 
Benin,2177.11 
Burkina Faso,1984.49 
Cameroon,2178.22 
Cape Verde,2150.07 
Chad,2718.03 
Ivory Coast,2017.27 
The Gambia,2177.08 
Ghana,1554.31 
Guinea,2161.4 
Guinea-Bissau,2187.88 
Liberia,2145.86 
Mali,1297.78 
Mauritania,2153.04 
Niger,2153.4 
Nigeria,3467.37 
Sao Tome and Principe,2130.44 
Senegal,1602.54 
Sierra Leone,2126.76 
Togo,2168.73 
